episode,reward
0,-0.0045
100,0.48775
200,0.6965
300,0.77975
400,0.71275
500,0.77525
600,0.77075
700,0.7935
800,0.792
900,0.8575
1000,0.83975
1100,0.85525
1200,0.87525
1300,0.782
1400,0.8175
1500,0.82875
1600,0.86125
1700,0.753
1800,0.80875
1900,0.7615
2000,0.82425
2100,0.83575
2200,0.84175
2300,0.8925
2400,0.805
2500,0.78875
2600,0.808
2700,0.7885
2800,0.746
2900,0.77225
3000,0.88225
3100,0.86675
3200,0.7965
3300,0.71775
3400,0.786
3500,0.76225
3600,0.7715
3700,0.80025
3800,0.809
3900,0.79725
4000,0.809
4100,0.7185
4200,0.742
4300,0.8245
4400,0.73525
4500,0.786
4600,0.7205
4700,0.75425
4800,0.69375
4900,0.71925
