episode,reward
0,0.105
100,0.011
200,0.11525
300,0.10675
400,0.0705
500,0.11575
600,0.08725
700,0.1065
800,0.11325
900,0.06525
1000,0.05225
1100,0.1655
1200,0.01675
1300,0.13625
1400,0.06075
1500,0.0375
1600,0.08
1700,0.15625
1800,0.82425
1900,0.7925
2000,0.80975
2100,0.81575
2200,0.85675
2300,0.896
2400,0.86725
2500,0.796
2600,0.8125
2700,0.83325
2800,0.8645
2900,0.8115
3000,0.7975
3100,0.71875
3200,0.7135
3300,0.834
3400,0.83575
3500,0.763
3600,0.819
3700,0.87875
3800,0.898
3900,0.806
4000,0.6575
4100,0.73025
4200,0.77625
4300,0.7145
4400,0.799
4500,0.802
4600,0.8135
4700,0.686
4800,0.85875
4900,0.80575
